Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Liberia,2014,9.4,0.4,84.02,0.28,0.0,0.0,0.0,1071.9282,1220.000029,0.7013931,739.911935,53,111369.0
Liberia,2019,23.1,0.4,87.24,0.31,0.0,0.0,0.0,1100.8312,1179.999948,-2.467297635,672.3404992,53,111369.0
Lithuania,2014,100.0,100.0,27.73,1.95,0.0,1.51,43.641617,20422.297,10859.99966,3.537009879,16551.0182,43,65300.0
Lithuania,2019,100.0,100.0,33.53,0.67,0.0,2.47,78.662415,24873.117,11729.99954,4.573771737,19575.76848,43,65300.0
Luxembourg,2014,100.0,100.0,6.85,1.51,0.0,0.4,20.94241,79619.14,9649.999619,2.623086016,123514.1967,242,2586.0
Luxembourg,2019,100.0,100.0,16.45,0.27,0.0,0.8,74.76635,76273.7,9489.999771,3.283806756,113218.7133,242,2586.0
Madagascar,2014,22.235073,0.9,80.12,1.08,0.0,0.89,45.177666,635.02496,3009.99999,3.339203113,530.8610389,48,587041.0
Madagascar,2019,31.04,0.9,82.77,1.1,0.0,0.91,45.273632,678.70404,4119.999886,4.41123213,522.9895243,48,587041.0
Malawi,2014,11.9,2.2,82.7,0.13,0.0,2.08,94.117645,605.3154,850.0000238,5.700000004,371.2695217,203,118484.0
Malawi,2019,11.2,1.2,73.02,0.2,0.0,1.5,88.23529,537.8198,1450.000048,5.448181336,591.8463896,203,118484.0
Maldives,2014,100.0,97.3,1.2,0.5,0.0,0.01,1.9607843,21157.406,1370.000005,7.329626203,8499.307148,1802,298.0
Maldives,2019,100.0,99.0,1.11,0.61,0.0,0.03,4.6875,18567.896,2109.999895,6.883688846,10561.61351,1802,298.0
Mali,2014,34.11334,0.9,80.93,0.85,0.0,1.51,63.983055,899.23505,3380.000114,7.084683881,848.279043,17,1240192.0
Mali,2019,47.836277,0.9,76.64,2.15,0.0,1.17,35.240963,1231.7151,5829.999924,4.756160808,879.0431873,17,1240192.0
Malta,2014,100.0,100.0,4.48,2.17,0.0,0.08,3.5555556,59933.56,2359.999895,7.633538112,26754.26845,1380,316.0
Malta,2019,100.0,100.0,7.7,1.86,0.0,0.21,10.144928,80081.51,1659.999967,5.539566337,30186.19596,1380,316.0
Mauritania,2014,38.8,43.1,30.92,0.76,0.0,0.22,22.448978,2994.4866,2900.000095,4.274823271,1677.109019,5,1030700.0
Mauritania,2019,45.830032,43.0,24.7,1.36,0.0,0.46,25.274725,4149.229,3950.000048,5.75993059,1743.302901,5,1030700.0
Mauritius,2014,99.38037,97.25,10.59,2.38,0.0,0.42,15.0,17609.402,3950.000048,3.744575777,10153.93822,626,2040.0
Mauritius,2019,100.0,96.9,8.94,2.5,0.0,0.59,19.093851,22800.158,4170.000076,3.012375903,11097.16898,626,2040.0
Mexico,2014,99.17293,84.6,9.76,223.43,9.3,57.46,23.005617,18757.031,462239.9902,2.849773255,10928.91601,66,1964375.0
Mexico,2019,99.6,84.9,10.34,248.2,10.88,59.0,21.969315,17903.295,449269.989,-0.176599456,9950.45008,66,1964375.0
Mongolia,2014,87.07883,42.6,3.34,4.86,0.0,0.21,4.1420116,19699.537,18120.00084,7.885225482,4158.521471,2,1564116.0
Mongolia,2019,97.22991,50.1,3.32,5.88,0.0,0.65,9.954058,24279.39,23069.99969,5.602244219,4404.84583,2,1564116.0
Montenegro,2014,97.7,61.45,45.95,1.42,0.0,1.75,55.205048,20434.42,2220.000029,1.783698581,7378.345289,47,13812.0
Montenegro,2019,100.0,62.0,38.74,1.5,0.0,1.93,56.26822,20460.55,2599.999905,4.062944992,8910.650834,47,13812.0
Morocco,2014,91.6,97.4,11.14,24.13,0.0,3.61,13.013699,6336.756,58689.99863,2.669493927,3171.699192,83,446550.0
Morocco,2019,99.6,98.0,10.69,32.38,0.0,7.6,19.009504,7267.464,71480.00336,2.607935495,3235.00066,83,446550.0
Mozambique,2014,24.8,3.7,81.92,1.19,0.0,16.38,93.22709,2987.1777,4860.000134,7.398512797,673.969212,40,799380.0
Mozambique,2019,29.67445,4.8,78.08,3.65,0.0,15.06,80.49172,2446.9106,7500.0,2.31460601,506.6416391,40,799380.0
Myanmar,2014,52.0,17.5,72.43,4.99,0.0,8.99,64.30615,2368.4949,17040.00092,8.19966375,1210.097636,83,676578.0
Myanmar,2019,68.35853,28.9,57.85,12.78,0.0,10.95,46.144123,3197.22,36720.00122,6.750460146,1271.111575,83,676578.0
Namibia,2014,48.728516,43.6,30.09,0.02,0.0,1.5,98.68421,9735.818,3950.000048,6.09251916,5469.9014,3,824292.0
Namibia,2019,55.17709,46.5,30.69,0.04,0.0,1.32,97.05882,9254.443,4219.99979,-0.88809916,5009.685904,3,824292.0
Nauru,2014,99.33779,100.0,0.05,0.02,0.0,0.0,0.0,28475.137,50.00000075,26.5625,10171.48073,541,21.0
Nauru,2019,100.0,100.0,0.61,0.03,0.0,0.0,0.0,22405.49,59.99999866,0.0,11029.73558,541,21.0
Nepal,2014,84.9,27.6,84.06,0.0,0.0,3.78,100.0,1099.4447,7130.000114,6.011482843,844.8531248,203,147181.0
Nepal,2019,89.9,33.6,77.39,0.0,0.0,6.26,100.0,1700.5831,13449.99981,6.657055428,1194.956876,203,147181.0
Netherlands,2014,100.0,100.0,5.53,87.48,4.09,11.65,15.248982,59946.082,149789.9933,1.423395395,52830.17423,508,41543.0
Netherlands,2019,100.0,100.0,8.54,94.09,3.91,22.79,22.104479,58836.934,146339.9963,1.955588416,52476.27325,508,41543.0
New Zealand,2014,100.0,100.0,31.09,8.66,0.0,34.0,79.69995,55530.688,31969.99931,3.813831016,44572.89875,18,268838.0
New Zealand,2019,100.0,100.0,29.65,7.84,0.0,35.97,82.10454,53259.336,34009.99832,1.633932613,42755.21626,18,268838.0
