Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Netherlands,1.0,1.0,0.08986635799221297,0.018455460925577948,0.004830679136655094,0.011312587797892354,0.22104479000000002,0.2820554882393084,0.01366188606409458,0.5190558717983348,0.4624110858393341,0.06055528961225467,0.00415858384205594
New Zealand,1.0,1.0,0.312006734715353,0.001537791621389426,0.0,0.017854926857840632,0.8210454,0.25521349413312033,0.0031707753668988882,0.49844340933025383,0.376376799639334,0.0019147917663954045,0.026923029542650922
North Macedonia,1.0,0.7725450901803607,0.17173524150268338,0.0008885454138895536,0.0,0.0006651543505561982,0.22827940000000002,0.06959812197876561,0.0007695785250360665,0.6443260604840382,0.05170500599389407,0.009693633317376736,0.002573150042630442
Norway,1.0,1.0,0.6563190571398505,0.0005413654177340326,0.0,0.06506103039358274,0.9793769,0.46279032808014287,0.0033519627675653915,0.44152966273468325,0.6681228908980945,0.0015557683101962662,0.03242788003864733
Oman,1.0,1.0,0.0,0.007067172464114926,0.0,9.927676873973107e-06,0.0005547850199999999,0.38905547472980534,0.007095252214130412,0.32137494097601454,0.154636805267,0.001675442795595979,0.030995481163133526
Panama,0.9543267467248907,0.875751503006012,0.19898979269704303,0.0008140095955058824,0.0,0.0030974351846796092,0.60057747,0.13305467660908118,0.0012402915886394776,0.5846843482029997,0.13758715458901594,0.006701771182383916,0.007551492295823318
Paraguay,0.9967248908296944,0.6793587174348698,0.6323266336946228,1.3730282333834162e-05,0.0,0.024317844502797125,0.99857315,0.09469172836917451,0.0007611729202566945,0.36798533129643335,0.045603389187484786,0.0019147917663954045,0.04073563327063375
Peru,0.9514340611353712,0.8321643286573146,0.28538356308534146,0.0043466150931109285,0.0,0.01708056806167073,0.6082729299999999,0.04678706764832318,0.0052945880542432985,0.5349730538258162,0.060176728443569236,0.0028721876495931067,0.12871709361040132
Philippines,0.9524572052401746,0.4639278557114228,0.2812795959170788,0.01633903597726265,0.0,0.011307623959455369,0.2147436,0.023469515833893204,0.013575962427649505,0.7858267087005482,0.028826558543741644,0.043800861656294876,0.030044020575986197
Poland,1.0,1.0,0.12817005156266442,0.02698588919269863,0.0,0.012637932660567765,0.15615800999999999,0.14702188841824987,0.027558195856045485,0.6978047506912511,0.1372149833878297,0.01460028721876496,0.03131447084419292
